sym,side,live_gain_pct,live_bh_pct,live_delta,live_gain_per_mo,live_dd,live_trades,live_window_days,live_source,vec_gain_pct,vec_bh_pct,vec_delta_per_mo,vec_gain_per_mo,vec_dd,vec_tim,vec_trades,vec_window_days,vec_bars,entry_overrides,exit_overrides,reentry_overrides
AAPL,LONG,5425.59936223,32.96992859,5392.62943364,451.6508924890988,0.0407696,59,365.67013889,autonomous_direct_v8,23.5095,76.0101,-3.7968,1.7002,17.6,50.39,6586,414.8,119469,TRADIER_STOCH_ENTRY_SHORT_TRADIER=39,DELTA_EXIT_ACCEL_THRESHOLD=-0.05;WT_W_EXIT_ENABLED=True,
ABBV,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
ACN,SHORT,PENDING_12h,,,,,,,,156.1282,56.0897,14.3563,22.4055,8.97,50.65,3302,209.0,60206,,DELTA_EXIT_WT_CROSS=True,
ADP,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
AEM,SHORT,PENDING_12h,,,,,,,,6.9684,-227.0953,26.9534,0.8024,36.56,40.25,4982,260.5,75030,DC_ENTRY_VETO_ENABLED_TRADIER=False,DELTA_EXIT_WT_CROSS=False;SATOSHIT_EXIT_LONG_STOCH_K_MIN_TRADIER=90.0,
AGCO,SHORT,PENDING_12h,,,,,,,,6.0946,-2.238,1.4655,1.0719,1.41,1.09,75,170.6,49126,REENTRY_60MIN_WINDOW_MIN=720.0;K_ZONE_ENTRY_ENABLED_TRADIER=False;REENTRY2_DC_BREAK_ENABLED=True,,REENTRY_60MIN_WINDOW_MIN=720.0;REENTRY2_DC_BREAK_ENABLED=True
AGI,SHORT,PENDING_12h,,,,,,,,0.1433,-119.9413,15.2688,0.0182,5.27,1.02,93,235.9,67951,,,
AG,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
ALB,SHORT,PENDING_12h,,,,,,,,13.4031,3.9458,1.083,1.5349,4.17,0.89,100,262.0,75447,BB_ENTRY_SHORT_THRESHOLD=0.525,,
ALMU,SHORT,PENDING_12h,,,,,,,,47.4651,41.0574,9.759,72.2895,4.51,28.59,451,19.7,5673,,,
AMAT,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
AMD,LONG,2378.37046537,223.49426727,2154.8761981,197.98607888964452,0.10624988,26,365.67013889,autonomous_direct_v8,11.2818,189.7817,-13.3579,0.8443,3.54,0.88,124,400.9,115455,,HTF_W_REVERSAL_EXIT_TRADIER_ENABLED=False;RZ_ZSCORE_EXIT_ENABLED=False,
AMZN,LONG,PENDING_12h,,,,,,,,0.001,28.2686,-2.0977,0.0001,5.48,0.98,160,404.3,116426,,RZ_ZSCORE_EXIT_ENABLED=True,
APA,LONG,PENDING_12h,,,,,,,,59.0439,4.2843,6.3285,6.8236,57.45,37.76,5171,259.6,74761,,,
ARM,LONG,11107.6512543,61.45853119,11046.19272312,924.6500280478291,0.43630575,119,365.67013889,autonomous_direct_v8,382.5288,95.8302,22.7457,30.3486,8.88,44.53,6712,378.1,108903,,,
