sym,side,gain_pct,bh_gain_pct,delta_vs_bh_pct,gain_per_mo_pct,max_dd_pct,trades,window_days,window_months,bars,capital_usd,source,run_state,run_id
AAPL,LONG,5425.60,32.97,5392.63,451.65,0.0407696,59,365.7,12.01,,10000,autonomous_direct_v8,REJECTED,autonomous_v8_1786601169_b1d8470485d5e678
AAPL,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
ACN,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AEM,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AGCO,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AGI,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AG,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
ALB,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AMAT,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AMD,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AMZN,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
ARM,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AR,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AU,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
AXON,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
A,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
BG,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
BK,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
BNO,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
BOTZ,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CAT,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CDE,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CDW,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CF,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CHRD,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CIBR,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CIEN,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CIEN,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CLF,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CLX,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CMC,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CMC,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
COE,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
COP,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
CRWD,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
DAR,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
DELL,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
DINO,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
DIS,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
DVN,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
EOG,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
EXEL,LONG,797.33,10.37,786.96,360.23,0.00730775,9,67.4,2.21,,10000,autonomous_direct_v8,REJECTED,autonomous_v8_1786623171_ddb724526cbb4c71
FANG,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
FCN,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
FCX,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
FIVN,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
FNV,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
GDX,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
GM,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
GOOGL,LONG,4800.93,63.53,4737.40,399.65,0.04236633,51,365.7,12.01,,10000,autonomous_direct_v8_path_probe,REJECTED,autonomous_path_v8_1786615767_5a74256283594ba0
