sym,side,window_days,window_months,window_is_1yr,gain_pct,bh_gain_pct,delta_vs_bh_pct,gain_per_mo_pct,bh_per_mo_pct,max_dd_pct,tim_pct,win_rate_pct,trades,closes_per_month,sharpe_per_trade,bars,capital_usd,venue,mode,run_id,source,finished_at
AAPL,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AAPL,SHORT,365.67013889,12.01,,0.0,32.96992859,-32.96992859,0.0,2.744562707050854,0.0,0,,0,,0,365.67013889,10000,stocks,12,autonomous_v8_1786597776_88bac3aa292690ea,autonomous_direct_v8,2026-08-13T05:13:54.960787Z
ACN,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AEM,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AGCO,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AGI,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AG,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
ALB,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AMAT,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AMD,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AMZN,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
ARM,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AR,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AU,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
AXON,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
A,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
BG,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
BK,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
BNO,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
BOTZ,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CAT,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CDE,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CDW,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
