bar_on,wt_on,k_on,max_hold_min,side_mode,pool_sharpe,sym_sharpe,avg_gain_trade,gain_per_yr,gain_sym_yr,acc_gain_pct,max_dd_pct,avg_dd_pct,trades,opens_long,opens_short,syms_with_trades,n_syms,n_years
False,True,True,5.0,SHORT_ONLY,0.6265,0.6362,0.1329,3277.35,273.1122,1607.72,1.48,0.82,12096,0,12096,12,12,0.491
False,True,False,5.0,SHORT_ONLY,0.6264,0.6361,0.1329,3276.82,273.0687,1607.46,1.48,0.82,12096,0,12096,12,12,0.491
True,True,True,5.0,SHORT_ONLY,0.6106,0.6192,0.1272,3136.86,261.4054,1538.8,1.53,0.84,12096,0,12096,12,12,0.491
True,True,False,5.0,SHORT_ONLY,0.6104,0.6191,0.1272,3136.49,261.3744,1538.62,1.53,0.84,12096,0,12096,12,12,0.491
False,True,True,5.0,BOTH,0.5945,0.6188,0.1371,6542.64,545.2201,3209.52,1.97,0.96,23402,11306,12096,12,12,0.491
False,True,False,5.0,BOTH,0.5943,0.6186,0.1371,6541.55,545.1293,3208.99,1.97,0.96,23402,11306,12096,12,12,0.491
True,False,True,5.0,SHORT_ONLY,0.5914,0.6007,0.1276,3147.41,262.2842,1543.98,1.53,0.92,12096,0,12096,12,12,0.491
True,False,False,5.0,SHORT_ONLY,0.5912,0.6006,0.1276,3146.89,262.2408,1543.72,1.53,0.92,12096,0,12096,12,12,0.491
False,True,True,15.0,SHORT_ONLY,0.5807,0.5923,0.2327,3567.54,297.2951,1750.07,1.22,0.68,7520,0,7520,12,12,0.491
False,True,False,15.0,SHORT_ONLY,0.5806,0.5922,0.2327,3567.02,297.2516,1749.82,1.22,0.68,7520,0,7520,12,12,0.491
True,True,True,5.0,BOTH,0.5785,0.6017,0.132,6296.71,524.7257,3088.88,2.13,0.97,23402,11306,12096,12,12,0.491
True,True,False,5.0,BOTH,0.5784,0.6015,0.132,6295.87,524.6561,3088.47,2.13,0.97,23402,11306,12096,12,12,0.491
False,True,True,5.0,LONG_ONLY,0.569,0.6136,0.1417,3265.29,272.1079,1601.8,1.0,0.6,11306,11306,0,12,12,0.491
False,True,False,5.0,LONG_ONLY,0.5689,0.6134,0.1417,3264.73,272.0606,1601.53,1.0,0.6,11306,11306,0,12,12,0.491
True,False,True,5.0,BOTH,0.5566,0.5806,0.1321,6304.06,525.3387,3092.49,2.57,1.23,23402,11306,12096,12,12,0.491
True,False,False,5.0,BOTH,0.5564,0.5804,0.1321,6303.08,525.2566,3092.0,2.57,1.23,23402,11306,12096,12,12,0.491
False,True,True,15.0,BOTH,0.5541,0.579,0.2393,7118.63,593.2192,3492.08,1.81,0.78,14593,7073,7520,12,12,0.491
False,True,False,15.0,BOTH,0.554,0.5788,0.2393,7117.54,593.1283,3491.54,1.81,0.78,14593,7073,7520,12,12,0.491
True,True,True,5.0,LONG_ONLY,0.554,0.5971,0.1371,3159.84,263.3203,1550.08,1.0,0.6,11306,11306,0,12,12,0.491
True,True,False,5.0,LONG_ONLY,0.5538,0.5969,0.1371,3159.38,263.2816,1549.85,1.0,0.6,11306,11306,0,12,12,0.491
False,False,True,5.0,SHORT_ONLY,0.5525,0.5623,0.1287,3174.01,264.5009,1557.02,2.97,1.42,12096,0,12096,12,12,0.491
False,True,True,60.0,SHORT_ONLY,0.5436,0.5582,0.2482,3713.08,309.4237,1821.47,1.22,0.68,7338,0,7338,12,12,0.491
False,True,True,0.0,SHORT_ONLY,0.5436,0.5582,0.2482,3713.08,309.4237,1821.47,1.22,0.68,7338,0,7338,12,12,0.491
False,True,False,60.0,SHORT_ONLY,0.5435,0.5581,0.2482,3712.56,309.3801,1821.21,1.22,0.68,7338,0,7338,12,12,0.491
False,True,False,0.0,SHORT_ONLY,0.5435,0.5581,0.2482,3712.56,309.3801,1821.21,1.22,0.68,7338,0,7338,12,12,0.491
False,True,True,15.0,LONG_ONLY,0.5324,0.5756,0.2463,3551.09,295.924,1742.0,0.85,0.5,7073,7073,0,12,12,0.491
False,True,False,15.0,LONG_ONLY,0.5323,0.5754,0.2462,3550.52,295.8767,1741.72,0.85,0.5,7073,7073,0,12,12,0.491
False,False,True,5.0,BOTH,0.5322,0.5545,0.1333,6359.5,529.9586,3119.68,2.97,1.69,23402,11306,12096,12,12,0.491
True,False,True,5.0,LONG_ONLY,0.5299,0.5731,0.137,3156.65,263.0545,1548.51,2.0,0.94,11306,11306,0,12,12,0.491
True,False,False,5.0,LONG_ONLY,0.5298,0.5729,0.1369,3156.19,263.0158,1548.28,2.0,0.94,11306,11306,0,12,12,0.491
False,True,True,60.0,BOTH,0.5217,0.5446,0.256,7424.85,618.7371,3642.29,1.81,0.78,14229,6891,7338,12,12,0.491
False,True,True,0.0,BOTH,0.5217,0.5446,0.256,7424.85,618.7371,3642.29,1.81,0.78,14229,6891,7338,12,12,0.491
False,True,False,0.0,BOTH,0.5216,0.5445,0.2559,7423.76,618.6463,3641.76,1.81,0.78,14229,6891,7338,12,12,0.491
False,True,False,60.0,BOTH,0.5216,0.5445,0.2559,7423.76,618.6463,3641.76,1.81,0.78,14229,6891,7338,12,12,0.491
True,False,True,15.0,SHORT_ONLY,0.521,0.5297,0.2079,3510.26,292.5216,1721.97,1.69,0.83,8284,0,8284,12,12,0.491
True,False,False,15.0,SHORT_ONLY,0.5209,0.5296,0.2078,3509.74,292.4782,1721.72,1.69,0.83,8284,0,8284,12,12,0.491
True,True,True,15.0,SHORT_ONLY,0.5193,0.5273,0.1953,3312.4,276.0334,1624.91,1.53,0.76,8319,0,8319,12,12,0.491
True,True,False,15.0,SHORT_ONLY,0.5192,0.5272,0.1953,3312.03,276.0025,1624.73,1.53,0.76,8319,0,8319,12,12,0.491
False,False,True,5.0,LONG_ONLY,0.516,0.557,0.1382,3185.49,265.4577,1562.66,2.0,1.13,11306,11306,0,12,12,0.491
False,True,True,0.0,LONG_ONLY,0.504,0.5448,0.2642,3711.76,309.3135,1820.82,0.85,0.5,6891,6891,0,12,12,0.491
False,True,True,60.0,LONG_ONLY,0.504,0.5448,0.2642,3711.76,309.3135,1820.82,0.85,0.5,6891,6891,0,12,12,0.491
False,True,False,0.0,LONG_ONLY,0.5039,0.5446,0.2642,3711.19,309.2662,1820.54,0.85,0.5,6891,6891,0,12,12,0.491
False,True,False,60.0,LONG_ONLY,0.5039,0.5446,0.2642,3711.19,309.2662,1820.54,0.85,0.5,6891,6891,0,12,12,0.491
True,True,True,15.0,BOTH,0.4968,0.5169,0.2036,6667.92,555.6603,3270.98,2.13,0.84,16064,7745,8319,12,12,0.491
True,True,False,15.0,BOTH,0.4967,0.5168,0.2036,6667.09,555.5907,3270.57,2.13,0.84,16064,7745,8319,12,12,0.491
True,True,True,60.0,SHORT_ONLY,0.4919,0.505,0.2024,3394.92,282.9101,1665.39,1.53,0.74,8227,0,8227,12,12,0.491
True,True,True,0.0,SHORT_ONLY,0.4919,0.505,0.2024,3394.92,282.9101,1665.39,1.53,0.74,8227,0,8227,12,12,0.491
True,True,False,0.0,SHORT_ONLY,0.4918,0.505,0.2024,3394.55,282.8792,1665.21,1.53,0.74,8227,0,8227,12,12,0.491
True,True,False,60.0,SHORT_ONLY,0.4918,0.505,0.2024,3394.55,282.8792,1665.21,1.53,0.74,8227,0,8227,12,12,0.491
True,True,True,15.0,LONG_ONLY,0.4797,0.5166,0.2125,3355.52,279.6269,1646.07,0.85,0.5,7745,7745,0,12,12,0.491
True,True,False,15.0,LONG_ONLY,0.4796,0.5164,0.2125,3355.06,279.5882,1645.84,0.85,0.5,7745,7745,0,12,12,0.491
True,False,True,15.0,BOTH,0.4787,0.5079,0.2152,7015.54,584.6282,3441.5,2.73,1.08,15990,7706,8284,12,12,0.491
True,False,False,15.0,BOTH,0.4786,0.5078,0.2152,7014.55,584.5462,3441.02,2.73,1.08,15990,7706,8284,12,12,0.491
True,True,True,0.0,BOTH,0.4732,0.4937,0.2113,6836.36,569.6967,3353.61,2.13,0.84,15872,7645,8227,12,12,0.491
True,True,True,60.0,BOTH,0.4732,0.4937,0.2113,6836.36,569.6967,3353.61,2.13,0.84,15872,7645,8227,12,12,0.491
True,True,False,0.0,BOTH,0.4732,0.4936,0.2113,6835.53,569.6272,3353.2,2.13,0.84,15872,7645,8227,12,12,0.491
True,True,False,60.0,BOTH,0.4732,0.4936,0.2113,6835.53,569.6272,3353.2,2.13,0.84,15872,7645,8227,12,12,0.491
True,False,True,60.0,SHORT_ONLY,0.4647,0.4781,0.2307,3847.75,320.6454,1887.53,1.69,0.81,8180,0,8180,12,12,0.491
True,False,False,60.0,SHORT_ONLY,0.4646,0.478,0.2307,3847.22,320.6021,1887.27,1.69,0.81,8180,0,8180,12,12,0.491
True,False,True,0.0,SHORT_ONLY,0.4623,0.4759,0.231,3851.42,320.9516,1889.33,1.69,0.81,8180,0,8180,12,12,0.491
True,False,False,0.0,SHORT_ONLY,0.4622,0.4759,0.2309,3850.9,320.9082,1889.08,1.69,0.81,8180,0,8180,12,12,0.491
True,True,True,60.0,LONG_ONLY,0.4591,0.4945,0.2208,3441.44,286.7866,1688.21,0.85,0.5,7645,7645,0,12,12,0.491
True,True,True,0.0,LONG_ONLY,0.4591,0.4945,0.2208,3441.44,286.7866,1688.21,0.85,0.5,7645,7645,0,12,12,0.491
True,True,False,0.0,LONG_ONLY,0.459,0.4944,0.2208,3440.98,286.748,1687.99,0.85,0.5,7645,7645,0,12,12,0.491
