position_key,symbol,side,is_hedge,open_dt,close_dt,hold_minutes,open_price,close_price,actual_gain_pct,aug_count,reduce_count,first_flip_dt,flip_minutes_after_open,cf_price,cf_gain_pct,delta_cf_minus_actual_pct,close_reason
inf:ACEUSDT_SHORT,ACEUSDT,SHORT,False,2026-04-20T00:14:57.238184+00:00,2026-04-20T00:20:56.328318+00:00,5.98,0.1139,0.11472605,-0.7252,0,0,2026-04-20T00:14:57.238184+00:00,0.0,0.1139,0.0,0.7252,QUICK_HEDGE_KILL_REVERSING_-0.80%<prev0.00%
inf:ACEUSDT_SHORT,ACEUSDT,SHORT,False,2026-04-20T02:29:22.277894+00:00,2026-04-20T02:59:14.414951+00:00,29.87,0.1163,0.11622991,0.0603,0,0,,,,,,STALL_SUB_age=14289min_gain=0.09%_deltaspd=0.00
inf:ACEUSDT_SHORT,ACEUSDT,SHORT,False,2026-04-21T04:28:17.404838+00:00,2026-04-21T13:14:30.834908+00:00,526.22,0.11989491,0.11809725,1.4994,1,2,,,,,,WT_4H_VEL_EXIT_vel=14.7_g=-0.97%_MANDATORY_REENTRY
inf:ACEUSDT_SHORT,ACEUSDT,SHORT,False,2026-04-21T13:48:04.583388+00:00,2026-04-25T23:56:42.194357+00:00,6368.63,0.1178,0.12165321,-3.271,1,0,,,,,,QUICK_HEDGE_CLOSE_WT3M1H_ABS_3m=0.9/-10.7_1h=32.2/23.8_gain=0.00%_REDUCE
inf:ACEUSDT_LONG,ACEUSDT,LONG,True,2026-04-20T00:19:41.679833+00:00,2026-04-26T11:56:17.802254+00:00,9336.6,0.1148,0.1231,7.23,1,3,,,,,,QUICK_HEDGE_WT_KILL_LOSER_RECOVER_ACEUSDT_wt3m=42.5/65.1_cf1h=40.2/59.6_g0.0_REDUCE
inf:ACEUSDT_LONG,ACEUSDT,LONG,True,2026-04-26T12:19:31.080040+00:00,2026-04-26T12:31:15.959004+00:00,11.75,0.1236,0.1235,-0.0809,0,1,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=14.1/17.9_1h=31.1/46.5_gain=0.00%
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,True,2026-04-20T00:36:18.732666+00:00,2026-04-20T00:40:51.163925+00:00,4.54,24.27800138,24.31,-0.1318,0,0,,,,,,QUICK_HEDGE_WT_KILL_LOSER_RECOVER_ACEUSDT_wt3m=34.0/33.1_g0.0
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-20T01:45:10.604174+00:00,2026-04-20T02:34:02.843006+00:00,48.87,24.68,25.05,-1.4992,1,0,2026-04-20T01:45:10.604174+00:00,0.0,24.68,0.0,1.4992,WT_4H_VEL_EXIT_vel=8.5_g=0.00%_MANDATORY_REENTRY
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,True,2026-04-24T22:30:15.414695+00:00,2026-04-25T04:21:02.947405+00:00,350.79,22.60501805,22.77,-0.7298,2,5,2026-04-25T00:38:50.589163+00:00,128.59,22.47,0.5973,1.3271,HEDGE_CLOSE_WT3M1H_PP_ABS_3m=37.0/26.5_1h=32.4/5.8_gain=0.00%
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T04:33:10.437445+00:00,2026-04-25T05:16:07.392380+00:00,42.95,22.74451695,22.68,0.2837,5,0,,,,,,HEDGE_CLOSE_WT3M1H_PP_ABS_3m=-18.0/-34.3_1h=32.9/24.7_gain=0.00%
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T05:25:13.317640+00:00,2026-04-25T06:10:49.773182+00:00,45.61,22.69301961,22.58449226,0.4782,7,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.09_main=gone_wt3m=-47.7/-30.1_wt15m=-7.0/-0.9
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T06:17:17.954558+00:00,2026-04-25T06:19:40.617360+00:00,2.38,22.55,22.51,0.1774,0,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.06_main=gone_wt3m=-42.8/-32.5_wt15m=-7.0/-0.9
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T06:26:48.067931+00:00,2026-04-25T06:27:35.701928+00:00,0.79,22.51,22.50513278,0.0216,0,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.00_main=gone_wt3m=-67.9/-45.7_wt15m=-13.2/-5.3
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T08:47:36.317248+00:00,2026-04-25T08:54:57.359975+00:00,7.35,22.60546741,22.57,0.1569,0,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.00_main=gone_wt3m=-23.2/-13.2_wt15m=1.2/2.5
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T09:14:37.619750+00:00,2026-04-25T09:15:09.358717+00:00,0.53,22.55,22.55,0.0,0,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.00_main=gone_wt3m=-34.8/-22.0_wt15m=-2.5/2.2
inf:COMPUSDT_SHORT,COMPUSDT,SHORT,False,2026-04-25T09:25:52.362145+00:00,2026-04-25T10:59:31.172606+00:00,93.65,22.54,22.37317354,0.7401,2,1,2026-04-25T10:00:53.825125+00:00,35.02,22.58,-0.1775,-0.9176,HEDGE_CLEANUP_R6_main_recovered_gain=0.00_main=gone_wt3m=-61.4/-41.2_wt15m=-17.5/-7.2
inf:ADAUSDC_SHORT,ADAUSDC,SHORT,False,2026-04-20T01:11:19.475957+00:00,2026-04-20T02:14:28.414482+00:00,63.15,0.24426889,0.24432742,-0.024,0,0,2026-04-20T01:11:19.475957+00:00,0.0,0.24426889,0.0,0.024,WT_4H_VEL_EXIT_vel=17.9_g=-0.25%_MANDATORY_REENTRY
inf:ADAUSDC_SHORT,ADAUSDC,SHORT,False,2026-04-21T13:48:47.608228+00:00,2026-04-21T15:36:39.767036+00:00,107.87,0.24862015,0.24773648,0.3554,0,0,2026-04-21T15:36:39.767036+00:00,107.87,0.24773648,0.3554,0.0,WT_4H_VEL_EXIT_vel=14.9_g=-0.08%_MANDATORY_REENTRY
inf:ADAUSDC_SHORT,ADAUSDC,SHORT,True,2026-04-24T04:42:54.602054+00:00,2026-04-24T15:46:07.796108+00:00,663.22,0.2479,0.2477,0.0807,0,1,,,,,,WT_4H_VEL_EXIT_vel=12.1_g=-0.24%_MANDATORY_REENTRY
inf:ADAUSDC_SHORT,ADAUSDC,SHORT,True,2026-04-24T23:28:28.369743+00:00,2026-04-26T06:34:22.780816+00:00,1865.91,0.25025153,0.2513,-0.419,1,3,2026-04-26T06:34:22.780816+00:00,1865.91,0.2513,-0.419,0.0,QUICK_HEDGE_CLOSE_WT3M1H_ABS_3m=47.4/31.1_1h=67.2/52.8_gain=-1.00%_REDUCE
