Date,Time(UTC),Account,Side,Action,Price,Gain%,Category,Reason(truncated)
2026-05-01,17:30:41,ang,LONG,OPEN,382.72,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move2.58%_k3m69_exit357.0600_px366.27
2026-05-01,17:34:44,ang,SHORT,QUICK_OPEN,382.72,,QUICK_HEDGE_PROTECT_LONG_LOSS,QUICK_HEDGE_PROTECT_LONG_LOSS
2026-05-01,17:38:50,ang,SHORT,CLOSE,382.72,,QUICK_HEDGE_WT_KILL_LOSER_RECOVER_ZECUSDC_wt3m=48.2/35.6_cf1,QUICK_HEDGE_WT_KILL_LOSER_RECOVER_ZECUSDC_wt3m=48.2/35.6_cf1h=43.0/0.1_g0.0_REDU
2026-05-01,17:39:37,ang,SHORT,STRONG_REDUCE,382.72,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_1h|4h_g=
2026-05-01,17:43:42,ang,SHORT,STRONG_REDUCE,382.84,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_1h|4h_g=
2026-05-01,17:43:55,ang,SHORT,STRONG_REDUCE,382.84,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_1h|4h_g=
2026-05-01,17:44:52,ang,SHORT,STRONG_REDUCE,382.84,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_1h|4h_g=
2026-05-01,17:45:15,ang,SHORT,STRONG_REDUCE,382.72,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_1h|4h_g=
2026-05-01,17:47:54,ang,SHORT,STRONG_REDUCE,382.84,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_1h|4h_g=
2026-05-01,17:49:05,ang,LONG,STRONG_REDUCE,383.01,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:56/d_3m:67_HLR_TOP_EXIT_4h|D_g=0
2026-05-01,17:51:06,ang,SHORT,REDUCE,383.01,,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p386.167064>dc4383.89000,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p386.167064>dc4383.890000_g-0.97%
2026-05-01,17:51:42,ang,SHORT,REDUCE,383.01,,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p385.820000>dc4383.43000,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p385.820000>dc4383.430000_g-0.96%
