symbol,side,mode,start,years,trades,pool_sharpe,sym_sharpe,avg_gain_trade,gain_per_yr,gain_sym_yr,max_dd_pct,n_bars,elapsed_s,config_GOLDEN_RULE_HTF_MIN_TFS,config_GOLDEN_RULE_MIN_IND,config_WT_DC_ENTRY_THRESHOLD,config_WT_DC_HTF_GATE,true_gate_GR_HTF,true_gate_WT_DC,true_gate_combined,override_file,summary_path,trades_path,agg_csv,V8_RESULT_line,is_true_gate_2of5
AAPL,LONG,tradier,2024-01-01,2.3097098638679747,513,0.313966,0.313966,1.6690026748028006,370.6952053016724,370.6952053016724,44.125881500236,113862,17.98,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333221_55823.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333221_55823_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333221_55823.csv,V8_RESULT: pool_sharpe=0.313966 sym_sharpe=0.313966 sharpe=0.313966 pnl=+856.1984 trades=513 wins=0 losses=0,True
AAPL,SHORT,tradier,2024-01-01,2.3097098638679747,707,0.124257,0.124257,0.588349834643062,180.09332669863926,180.09332669863926,74.75328764735877,113862,12.24,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333239_56359.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333239_56359_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333239_56359.csv,V8_RESULT: pool_sharpe=0.124257 sym_sharpe=0.124257 sharpe=0.124257 pnl=+415.9633 trades=707 wins=0 losses=0,True
AMZN,LONG,tradier,2024-01-01,0.22210814510609173,24,0.512845,0.0,4.114547333875087,444.5993458089246,444.5993458089246,20.988082077966915,3807,1.74,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333251_56818.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333251_56818_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333251_56818.csv,V8_RESULT: pool_sharpe=0.512845 sym_sharpe=0.000000 sharpe=0.512845 pnl=+98.7491 trades=24 wins=0 losses=0,True
AMZN,SHORT,tradier,2024-01-01,0.22210814510609173,59,0.009851,0.009851,0.04993484400684685,13.264510380727863,13.264510380727863,36.17853696506909,3807,2.08,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333253_56947.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333253_56947_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333253_56947.csv,V8_RESULT: pool_sharpe=0.009851 sym_sharpe=0.009851 sharpe=0.009851 pnl=+2.9462 trades=59 wins=0 losses=0,True
NVDA,LONG,tradier,2024-01-01,2.309823940984105,625,0.356366,0.356366,2.564267683785522,693.8482513447028,693.8482513447028,74.08555469840165,114228,11.76,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333255_56992.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333255_56992_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333255_56992.csv,V8_RESULT: pool_sharpe=0.356366 sym_sharpe=0.356366 sharpe=0.356366 pnl=+1602.6673 trades=625 wins=0 losses=0,True
NVDA,SHORT,tradier,2024-01-01,2.309823940984105,889,0.190702,0.190702,1.057045246729644,406.83326883445795,406.83326883445795,53.9344787310748,114228,14.35,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333267_57432.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333267_57432_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333267_57432.csv,V8_RESULT: pool_sharpe=0.190702 sym_sharpe=0.190702 sharpe=0.190702 pnl=+939.7132 trades=889 wins=0 losses=0,True
TSLA,LONG,tradier,2024-01-01,0.4020267700965853,13,0.032725,0.0,0.03256159501883206,1.052916787464478,1.052916787464478,3.259322771508871,1261,2.14,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333282_57923.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333282_57923_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333282_57923.csv,V8_RESULT: pool_sharpe=0.032725 sym_sharpe=0.000000 sharpe=0.032725 pnl=+0.4233 trades=13 wins=0 losses=0,True
TSLA,SHORT,tradier,2024-01-01,0.4020267700965853,90,0.121763,0.121763,2.629972036913831,588.7605028525319,588.7605028525319,99.26617149025972,1261,1.38,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333283_58062.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333283_58062_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333283_58062.csv,V8_RESULT: pool_sharpe=0.121763 sym_sharpe=0.121763 sharpe=0.121763 pnl=+236.6975 trades=90 wins=0 losses=0,True
GOOGL,LONG,tradier,2024-01-01,2.329007909346718,675,0.152731,0.152731,0.8756053454674074,253.77054574120518,253.77054574120518,64.01518750935954,114260,15.08,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333285_58079.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333285_58079_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333285_58079.csv,V8_RESULT: pool_sharpe=0.152731 sym_sharpe=0.152731 sharpe=0.152731 pnl=+591.0336 trades=675 wins=0 losses=0,True
GOOGL,SHORT,tradier,2024-01-01,2.329007909346718,1054,0.099118,0.099118,0.3753451404059363,169.86364726379384,169.86364726379384,59.78440698283689,114260,11.93,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333300_58619.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333300_58619_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333300_58619.csv,V8_RESULT: pool_sharpe=0.099118 sym_sharpe=0.099118 sharpe=0.099118 pnl=+395.6138 trades=1054 wins=0 losses=0,True
