config_name,noloss,ablation,total_trades,realized_pnl,win_rate,ibs_exits,wt_exits,other_exits,avg_win_pct,avg_loss_pct,elapsed_s
nl_0,0,ALL,2960,2598.93,74.8,761,1060,1139,0.351,-0.459,621.0
nl_0.5,0.5,ALL,2390,4467.35,77.1,653,970,767,0.542,-0.436,621.0
nl_1.0,1.0,ALL,2518,5213.64,72.0,991,1498,29,0.678,-0.511,601.0
nl_1.5,1.5,ALL,3281,9793.13,72.3,1339,1877,65,0.879,-0.486,609.0
nl_2.0,2.0,ALL,4003,11047.57,70.9,1585,2350,68,0.864,-0.503,625.0
nl_3.0,3.0,ALL,4554,8527.2,69.6,1742,2782,30,0.677,-0.516,621.0
abl_ALL,0,ALL,5666,7437.65,69.9,1935,3216,515,0.527,-0.497,617.0
abl_NO_STOP,0,NO_STOP,5695,7019.86,69.9,1934,3250,511,0.513,-0.503,616.0
abl_NO_AUGMENT,0,NO_AUGMENT,6447,9516.3,69.7,2278,3674,495,0.561,-0.48,574.0
abl_NO_REENTRY,0,NO_REENTRY,7599,10168.01,70.5,2617,3977,1005,0.51,-0.463,520.0
abl_STOP_ONLY,0,STOP_ONLY,7155,9746.45,69.7,2647,3998,510,0.534,-0.482,615.0
nl0_abl_NO_STOP,0,NO_STOP,117,141.39,61.5,36,81,0,0.456,-0.223,614.0
nl0_abl_NO_AUGMENT,0,NO_AUGMENT,814,350.14,71.0,179,437,198,0.249,-0.366,499.0
nl0_abl_NO_REENTRY,0,NO_REENTRY,1418,897.73,70.4,313,773,332,0.295,-0.339,499.0
