sym_side,symbol,side,is_enabled_live,enabled_source,in_symbols_trb,in_trb_active_20260812,in_final_book_tradeable,trb_best_gain_pct,trb_best_bh_gain_pct,trb_best_score,trb_best_source,trb_overrides_count,trb_overrides_json,reentry_paths_true,churn_risk,eff_REENTRY_MANDATORY,src_REENTRY_MANDATORY,eff_REENTRY_TIER1_SIZE_MULT_TRADIER,src_REENTRY_TIER1_SIZE_MULT_TRADIER,eff_REENTRY_TIER2_SIZE_MULT_TRADIER,src_REENTRY_TIER2_SIZE_MULT_TRADIER,eff_REENTRY_B02_BC156_BOTTOM_ENABLED,src_REENTRY_B02_BC156_BOTTOM_ENABLED,eff_REENTRY_B04_DC_RETEST_ENABLED,src_REENTRY_B04_DC_RETEST_ENABLED,eff_REENTRY_B10_STOCH_REV_ENABLED,src_REENTRY_B10_STOCH_REV_ENABLED,eff_REENTRY_B11_DC_BREAK_ENABLED,src_REENTRY_B11_DC_BREAK_ENABLED,eff_REENTRY_B12_WT_MOM_ENABLED,src_REENTRY_B12_WT_MOM_ENABLED,eff_REENTRY_B14_HA_TREND_ENABLED,src_REENTRY_B14_HA_TREND_ENABLED,eff_REENTRY_B15_STRONG_TREND_ENABLED,src_REENTRY_B15_STRONG_TREND_ENABLED,eff_REENTRY_2_ENABLED,src_REENTRY_2_ENABLED,eff_REENTRY_NEVER_SKIP_ENABLED,src_REENTRY_NEVER_SKIP_ENABLED,eff_REENTRY_60MIN_UNCONDITIONAL_ENABLED,src_REENTRY_60MIN_UNCONDITIONAL_ENABLED,eff_REENTRY_60MIN_WINDOW_MIN,src_REENTRY_60MIN_WINDOW_MIN,eff_REENTRY_60MIN_MIN_PCT,src_REENTRY_60MIN_MIN_PCT,eff_LEGACY_GUARANTEED_REENTRY,src_LEGACY_GUARANTEED_REENTRY,eff_LEGACY_DC_BREAKOUT_REENTRY,src_LEGACY_DC_BREAKOUT_REENTRY,eff_EZ_REENTRY_PRICE_CROSS_GUARANTEE_ENABLED,src_EZ_REENTRY_PRICE_CROSS_GUARANTEE_ENABLED,eff_EZ_REENTRY_DAEMON_ENABLED,src_EZ_REENTRY_DAEMON_ENABLED,eff_REENTRY_CONFIRMATION_GATES_ENABLED,src_REENTRY_CONFIRMATION_GATES_ENABLED,eff_REENTRY_SYMGATE_ENABLED,src_REENTRY_SYMGATE_ENABLED,eff_WIN_TRAIL_EROSION_PCT,src_WIN_TRAIL_EROSION_PCT,eff_STOCH_CROSS_3M_EXIT_ENABLED,src_STOCH_CROSS_3M_EXIT_ENABLED,eff_BOUNCE_AUGMENT_K_D_THRESHOLD,src_BOUNCE_AUGMENT_K_D_THRESHOLD,eff_TRADIER_RSI2_ENABLED,src_TRADIER_RSI2_ENABLED,eff_PARTIAL_PROFIT_LOCK_ENABLED,src_PARTIAL_PROFIT_LOCK_ENABLED,eff_R1_DC_LOW4_3M_EMERGENCY_ENABLED,src_R1_DC_LOW4_3M_EMERGENCY_ENABLED,eff_WT_DC_EXIT_ENABLED,src_WT_DC_EXIT_ENABLED
AAPL_LONG,AAPL,LONG,True,symbols_trb_*.json (no book entry),True,True,False,0.06,0.048,0.3822,backtest_v8_engine --mode tradier --account trb --capital 10000,6,"{""BOUNCE_AUGMENT_K_D_THRESHOLD"": true, ""EMA_DIST_SIZING_MULT"": true, ""REENTRY_MANDATORY"": true, ""REENTRY_TIER1_SIZE_MULT_TRADIER"": true, ""STOCH_CROSS_3M_EXIT_ENABLED"": true, ""WIN_TRAIL_EROSION_PCT"": 0.125}",17,HIGH,True,trb/active_config.json,True,trb/active_config.json,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.125,trb/active_config.json,True,trb/active_config.json,True,trb/active_config.json,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
ABBV_LONG,ABBV,LONG,True,symbols_trb_*.json (no book entry),True,False,False,,,,,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
ACN_SHORT,ACN,SHORT,True,persym_final_book.json:tradeable,True,True,True,10.38,8.82,0.438,backtest_v8_engine --mode tradier --account trb --capital 10000,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
ADP_LONG,ADP,LONG,True,symbols_trb_*.json (no book entry),True,False,False,,,,,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
AEM_SHORT,AEM,SHORT,True,persym_final_book.json:tradeable,True,False,True,,,,,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
AGI_LONG,AGI,LONG,False,not in symbols_trb,False,True,False,18.3,12.81,1.8,backtest_v8_engine --mode tradier --account trb --capital 10000,3,"{""REENTRY_MANDATORY"": true, ""WIN_TRAIL_EROSION_PCT"": 0.125, ""WT_EXIT_MIN_TFS"": 3}",16,BLOCKED,True,trb/active_config.json,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.125,trb/active_config.json,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
AGI_SHORT,AGI,SHORT,True,persym_final_book.json:tradeable,True,True,True,12,5,0.6,backtest_v8_engine --mode tradier --account trb --capital 10000,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
ALB_SHORT,ALB,SHORT,False,persym_final_book.json:disabled,False,True,False,11.3,9.61,0.53,backtest_v8_engine --mode tradier --account trb --capital 10000,0,,16,BLOCKED,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
ALMU_SHORT,ALMU,SHORT,True,symbols_trb_*.json (no book entry),True,False,False,,,,,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
AMD_LONG,AMD,LONG,True,persym_final_book.json:tradeable,True,True,True,7.29,6.2,0.129,backtest_v8_engine --mode tradier --account trb --capital 10000,0,,16,HIGH,True,config_tradier.py:TradierConfig global,1.5,config_tradier.py:TradierConfig global,0.8,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,1440.0,config_tradier.py:TradierConfig global,0.05,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,0.5,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,45.0,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global,False,config_tradier.py:TradierConfig global,True,config_tradier.py:TradierConfig global
